representante_legal	razon_social	monto	fecha	description	razon_social_normalizada	node_id_panama_papers
andres duque pelaez	comercial internacional de equipos y maquinarias s.a. ¿navitrans s.a	170708542	11 de september de 2009  05:02 p.m.	adquisición de una volqueta con capacidad de 7 m3 modelo 2010, sujeta a especificaciones técnicas exigidas	navitrans	10051770,10148707
nelson rios villamizar	union temporal disico - comsa - gyc	363000000000	29 de december  de 2015  09:04 a.m.	suministro, instalación y puesta en marcha de los equipos electromecánicos del proyecto cruce de la cordillera central	disico	10163683,10163694
jhon jary delgado lozano	comercial internacional de equipos y maquinaria s.a.s. ¿navitrans s.a.s.¿,	269000000	03 de july      de 2014  02:14 p.m.	suministro de vehículo recolector compactador de residuos sólidos y servicios post-venta complementarios	navitrans	10051770,10148707
jhon jary delgado lozano	comercial internacional de equipos y maquinarias sas - navitrans s.a.s.	1100000000	30 de january   de 2015  04:35 p.m.	compra de maquinaria para el mantenimiento rutinario de las vias del municipio de yumbo (valle del cauca)	navitrans	10051770,10148707
comercial  internacional  de equipos  y maquinaria  s.a.  ¿navitrans¿	comercial  internacional  de equipos  y maquinaria  s.a.  ¿navitrans¿	709441	21 de junio de 2010	servicio  en el mantenimiento de los 5000 kilometros de la volqueta de placas  ofv 079 de propiedad del municipio de ricaurte cundinamarca.	navitrans	10051770,10148707
nelson rios villamizar	disico s.a.	1668595369	05 de january   de 2010  04:35 p.m.	contratar en nombre de la nación ¿ consejo superior de la judicatura, el suministro y capacitación de las licencias del software de grabación de audiencias de audio y/o video para la implementación de la oralidad en las diferentes jurisdicciones a nivel nacional.	disico	10163683,10163694
luis javier cardona velasquez	comercial internacional de equipos y maquinaria sas navitrans sas	175700000	20 de august    de 2014  09:18 a.m.	estudios previos para contratar la adquisición de una volqueta con capacidad de 7 m3 para el mantenimiento y mejoramiento de las vias del municipio de guasca cundinamarca.	navitrans	10051770,10148707
carlos alfonzo romero zarama	comercial internacional de equipos y maquinarias s.a.s  ¿navitrans s.a.s¿	11455000	28 de april     de 2012  06:37 p.m.	suministro de llantas para la (volqueta) de placas ocl371, marca inter y la retroexcavadora, ambas maquinarias, de propiedad del municipio de leiva (n).	navitrans	10051770,10148707
ricardo de j. duque pelaez	comercial internacional de equipos y maquinaria s.a. ?navitrans?	253000000	08 de january   de 2008  09:32 p.m.	adquisición de un vehiculo compactador para la recoleccion de los residuos sólidos del municipio de charalá	navitrans	10051770,10148707
andres de jesus duque pelaez	comercial internaional de equipos y maquinarias s.a navitrans s.a	300000000	27 de july      de 2010  03:55 p.m.	adquisición de un (1) vehículo recolector de basuras con capacidad de 17 yardas cubicas (17y3), para la prestación del servicio publico de aseo del municipio de san luis	navitrans	10051770,10148707
ricardo de jesus duque pelaez	comercial   internacional de equipos y maquinaria  s.a.s   navitrans	164911200	29 de mayo de 2013	suministro de vehículo tipo volqueta sencilla con volco capacidad  de 7 metros cúbicos	navitrans	10051770,10148707
myriam bustamante gutierrez	velez lab s.a.s.	43283760	26 de april     de 2013  05:01 p.m.	suministro de insumos y reactivos para la seccion de microbiologia y sedimentacion globular con equipo en apoyo tecnologico para el laboratorio clinica de la clinica regional valle de aburra.	velez lab	10053876
luis javier cardona velásquez	comercial internacional de equipos y maquinarias s.a.s. ¿ navitrans s.a.s.	197750000	13 de december  de 2013  07:43 a.m.	adquisición de maquinaria (vibrocompactador) para el  mantenimiento de las vias urbanas y rurales del municipio de apartadó departamento de antioquia.	navitrans	10051770,10148707
laura cuevas  serrano	transportes calderon s.a.	800000000	19 de may       de 2011  05:23 p.m.	contratar  la  prestacion del  servicio especial de transporte escolar para la poblacion estudiantil vulnerable de primaria y secundaria, que asisten a las instituciones educativas rurales y urbanas oficiales  del municipio de bucaramanga	transportes calder	10170683
